iter	Logloss
145	0.5548257426
146	0.5547810358
147	0.5547076614
148	0.5545681427
149	0.554439687
150	0.5544051711
151	0.5543530048
152	0.5542663088
153	0.5542321693
154	0.5541292735
155	0.554064543
156	0.5539705986
157	0.553897518
158	0.553826067
159	0.5537627504
160	0.5536679384
161	0.5536167682
162	0.5535367146
163	0.5535162778
164	0.5534599754
165	0.5533433586
166	0.5532883278
167	0.5531904035
168	0.5531344683
169	0.5530326788
170	0.5529927829
171	0.5529407772
172	0.5528955655
173	0.5528202677
174	0.5527372441
175	0.5526583565
176	0.5526013977
177	0.5525475925
178	0.5525208484
179	0.5524563979
180	0.5523353971
181	0.5522445973
182	0.5522171002
183	0.5522067303
184	0.5521600771
185	0.5520735235
186	0.5520204758
187	0.551985611
188	0.5518761324
189	0.5517998752
190	0.5517170352
191	0.5516426646
192	0.5515668802
193	0.5514999555
194	0.5514721693
195	0.5513910645
196	0.5513388109
197	0.5512849323
198	0.5512261006
199	0.5511674571
200	0.5511044251
201	0.5510512075
202	0.5509823915
203	0.5509180879
204	0.5508117538
205	0.550766386
206	0.5507236072
207	0.5506763298
208	0.5506472949
209	0.5505940131
210	0.5505503208
211	0.5505177696
212	0.5504297791
213	0.5503437671
214	0.5502968477
215	0.550254707
216	0.5501986204
217	0.5501199578
218	0.5500478458
219	0.5500215331
220	0.5499776067
221	0.5499598644
222	0.5498947208
223	0.5498662276
224	0.5497717507
225	0.5497361744
226	0.5496589945
227	0.5495947323
228	0.5495218399
229	0.5494796349
230	0.5494372234
231	0.5494123291
232	0.5493593641
233	0.5493151117
234	0.5492829599
235	0.5492330521
236	0.5492149702
237	0.5491577268
238	0.5491157835
239	0.5490447824
240	0.5489879016
241	0.548937879
242	0.5488954996
243	0.548873704
244	0.5487691556
245	0.5486846584
246	0.5486408973
247	0.5485979854
248	0.5485321899
249	0.5484862253
250	0.5484249973
251	0.5483926527
252	0.5483308923
253	0.5482484655
254	0.5481773863
255	0.5481146527
256	0.5480438122
257	0.5479881479
258	0.5479361744
259	0.5478774666
260	0.547843878
261	0.5477609141
262	0.5477224274
263	0.5477153397
264	0.5476464456
265	0.5475949908
266	0.5475836661
267	0.547546832
268	0.5474665397
269	0.5473993809
270	0.5473331539
271	0.5472273063
272	0.5472141913
273	0.5471409363
274	0.5471235016
275	0.5470450777
276	0.5469754766
277	0.5469243156
278	0.5468586762
279	0.546813414
280	0.5467777872
281	0.5467262039
282	0.5466647739
283	0.5466365699
284	0.5465539182
285	0.5465280599
286	0.5464766465
287	0.5464336703
288	0.546378511
289	0.5463319955
290	0.5462475351
291	0.5461519244
292	0.546084894
293	0.5459984
294	0.5459379983
295	0.5458993786
296	0.5458211887
297	0.5457866774
298	0.5457231083
299	0.5456453087
300	0.5455902228
301	0.5455410403
302	0.5454757084
303	0.5454214351
304	0.5453672811
305	0.545324842
306	0.5452651289
307	0.54519825
308	0.5451357322
309	0.5450744583
310	0.544981611
311	0.5449309229
312	0.5448635436
313	0.5448136358
314	0.5447617403
315	0.5447311264
316	0.5446853913
317	0.5446178744
318	0.5445607228
319	0.5445124262
320	0.5444437066
321	0.5443677156
322	0.5443055971
323	0.5442561438
324	0.544210932
325	0.5441790419
326	0.5441348722
327	0.5440746771
328	0.5440280699
329	0.5439813662
330	0.5439477225
331	0.5439098372
332	0.5438600625
333	0.5438244633
334	0.5437771032
335	0.5437424863
336	0.5437081632
337	0.5436372126
338	0.5435811856
339	0.5435266414
340	0.5434924423
341	0.5434430808
342	0.543385695
343	0.5433368339
344	0.543284741
345	0.5432270982
346	0.5431801742
347	0.5431472742
348	0.5430979172
349	0.5430560795
350	0.5430014067
351	0.5429572279
352	0.5429189432
353	0.5428641006
354	0.5428164651
355	0.5427709412
356	0.5427180725
357	0.5426764735
358	0.5426247983
359	0.5425668067
360	0.5425196945
361	0.5424817724
362	0.542435257
363	0.5423826179
364	0.542324259
365	0.5422813654
366	0.5422263392
367	0.5421955233
368	0.5421445826
369	0.5421070002
370	0.542064249
371	0.5420265611
372	0.541982217
373	0.5419287469
374	0.5418881211
375	0.5418349127
376	0.5417910506
377	0.5417379524
378	0.5416931263
379	0.5416608505
380	0.5415894133
381	0.5415434396
382	0.5414989577
383	0.5414579692
384	0.5414250141
385	0.5413854027
386	0.5413459934
387	0.5413029759
388	0.5412630203
389	0.5412155822
390	0.5411795835
391	0.5411612629
392	0.5411281792
393	0.5410651013
394	0.5410293552
395	0.5409895877
396	0.5409597587
397	0.5409103467
398	0.5408803983
399	0.5408054632
400	0.5407683674
401	0.5407337184
402	0.5407046468
403	0.5406583931
404	0.540610427
405	0.5405737628
406	0.5405510123
407	0.5405047126
408	0.5404574398
409	0.5404261234
410	0.5403816829
411	0.5403380319
412	0.5402953266
413	0.5402525111
414	0.5402103061
415	0.5401644976
416	0.5401190702
417	0.5400882083
418	0.5400289221
419	0.53997357
420	0.5399390495
421	0.5399066498
422	0.5398773212
423	0.5398435306
424	0.5397931178
425	0.5397538003
426	0.5397104064
427	0.5396792828
428	0.5396426278
429	0.5396137215
430	0.5395705984
431	0.5395403333
432	0.5394877355
433	0.5394549869
434	0.5394228581
435	0.5393898938
436	0.5393543037
437	0.5393171758
438	0.5392991444
439	0.5392732907
440	0.5392344047
441	0.5391997097
442	0.5391754352
443	0.5391396432
444	0.5391125134
445	0.5390777037
446	0.5390450837
447	0.5390090162
448	0.5389691157
449	0.5389174084
450	0.5388813042
451	0.5388393196
452	0.5388097981
453	0.5387494883
454	0.5387071593
455	0.5386717575
456	0.5386290567
457	0.5386034694
458	0.5385670805
459	0.5385377748
460	0.5385151621
461	0.5384866414
462	0.5384636706
463	0.5384213784
464	0.5383874776
465	0.5383621886
466	0.5383370878
467	0.5383064417
468	0.538278885
469	0.5382385116
470	0.5382086734
471	0.5381707835
472	0.5381331002
473	0.5381052726
474	0.5380585736
475	0.5380283268
476	0.5379960787
477	0.5379634586
478	0.5379251969
479	0.5378892534
480	0.5378625183
481	0.5378236415
482	0.5377928531
483	0.5377714797
484	0.5377286872
485	0.5377128271
486	0.5376797618
487	0.5376509977
488	0.5376212927
489	0.5375761728
490	0.5375502319
491	0.5374898853
492	0.5374706007
493	0.537435488
494	0.5374001642
495	0.537350339
496	0.5373153182
497	0.5372746189
498	0.5372518914
499	0.53723229
500	0.5372056605
501	0.5371691524
502	0.5371485089
503	0.5371189232
504	0.5370871295
505	0.537058976
506	0.5370336732
507	0.5370041288
508	0.5369825581
509	0.5369365476
510	0.5369056445
511	0.5368684982
512	0.5368463537
513	0.5368208811
514	0.5367833859
515	0.5367504997
516	0.5367129127
517	0.5366904193
518	0.5366699779
519	0.5366514231
520	0.5366321706
521	0.5365890797
522	0.536565053
523	0.5365389286
524	0.5365103849
525	0.5364793119
526	0.5364203883
527	0.5363906787
528	0.5363749149
529	0.5363513428
530	0.5363248281
531	0.5362916343
532	0.5362649498
533	0.5362051403
534	0.5361865534
535	0.5361499029
536	0.5361212491
537	0.5361024694
538	0.5360777725
539	0.5360415031
540	0.536021842
541	0.5360025665
542	0.5359656085
543	0.5359252902
544	0.5358869826
545	0.5358505295
546	0.5358312678
547	0.5358071585
548	0.5357715593
549	0.5357359922
550	0.5357123328
551	0.5356814801
552	0.5356277622
553	0.5355977725
554	0.5355541858
555	0.5355398038
556	0.5355117421
557	0.5354880782
558	0.5354603883
559	0.5354256337
560	0.5354061058
561	0.5353566295
562	0.5353284117
563	0.535292941
564	0.5352645672
565	0.535247587
566	0.53523298
567	0.5351920788
568	0.5351517743
569	0.5351193975
570	0.5350824625
571	0.5350601297
572	0.5350383295
573	0.5350029047
574	0.5349828626
575	0.5349549432
576	0.5349169569
577	0.5348798795
578	0.5348470805
579	0.5348169577
580	0.5347791366
581	0.5347525439
582	0.5347265296
583	0.5346951399
584	0.5346650767
585	0.5346357802
586	0.5346182721
587	0.5345971191
588	0.5345717888
589	0.5345355744
590	0.5345134758
591	0.5344882097
592	0.5344557504
593	0.5344218542
594	0.5343942562
595	0.5343661303
596	0.5343423882
597	0.5343294476
598	0.5343032497
599	0.5342838779
600	0.5342645703
601	0.5342425726
602	0.5342200976
603	0.5342019376
604	0.5341728614
605	0.5341565239
606	0.5341257401
607	0.5340868816
608	0.534062832
609	0.5340315937
610	0.5340079756
611	0.5339890307
612	0.533964646
613	0.5339411978
614	0.5339289182
615	0.5339008703
616	0.5338671578
617	0.5338206194
618	0.5337796538
619	0.5337540343
620	0.533724724
621	0.5336890835
622	0.5336335156
623	0.5336027363
624	0.5335752301
625	0.5335526725
626	0.5335183448
627	0.5334812077
628	0.5334691623
629	0.5334498593
630	0.5334075854
631	0.5333773662
632	0.5333472159
633	0.5333165193
634	0.5332724735
635	0.5332489335
636	0.5332207754
637	0.5331995215
638	0.5331674753
639	0.5331353831
640	0.5331194495
641	0.5330963686
642	0.5330728056
643	0.5330495272
644	0.5330263406
645	0.5330013821
646	0.5329598015
647	0.5329366195
648	0.532905317
649	0.5328665962
650	0.5328495195
651	0.5328195023
652	0.532788769
653	0.5327727115
654	0.5327453567
655	0.5326990662
656	0.5326754482
657	0.5326452381
658	0.5326115715
659	0.5325918875
660	0.5325485946
661	0.532529925
662	0.5325098875
663	0.5324915256
664	0.5324746739
665	0.5324400387
666	0.5324185093
667	0.5323946938
668	0.5323695517
669	0.532339002
670	0.5323086175
671	0.5322923167
672	0.5322689557
673	0.5322290046
674	0.5322143472
675	0.532177302
676	0.5321534176
677	0.5321202743
678	0.532099842
679	0.5320815811
680	0.5320673368
681	0.5320423737
682	0.5320173142
683	0.5319791075
684	0.5319331613
685	0.5319052925
686	0.5318887208
687	0.5318446521
688	0.5318321246
689	0.5318046827
690	0.5317816522
691	0.5317537512
692	0.5317275579
693	0.5316866887
694	0.5316573601
695	0.5316418626
696	0.5316233262
697	0.5316069473
698	0.5315878463
699	0.5315775544
700	0.5315598948
701	0.5315233224
702	0.5314942141
703	0.5314780877
704	0.5314563425
705	0.5314396423
706	0.5314018672
707	0.5313784924
708	0.5313601855
709	0.5313450553
710	0.5313203401
711	0.5312754359
712	0.5312509594
713	0.5312045496
714	0.5311796002
715	0.5311586263
716	0.5311492938
717	0.5311290773
718	0.5310825206
719	0.5310701446
720	0.5310488034
721	0.5310143885
722	0.5309808183
723	0.5309583111
724	0.5309432084
725	0.5309148942
726	0.5308914919
727	0.5308637378
728	0.5308362821
729	0.5308071049
730	0.5307583906
731	0.5307407907
732	0.5307198627
733	0.5306901163
734	0.5306717819
735	0.5306447714
736	0.5306063674
737	0.5305817807
738	0.5305525301
739	0.5305348705
740	0.5304946303
741	0.5304742118
742	0.5304358904
743	0.5304235557
744	0.5304035595
745	0.5303866665
746	0.5303631127
747	0.5303423591
748	0.5303208802
749	0.5302940718
750	0.5302734191
751	0.5302473819
752	0.5302199583
753	0.5301974373
754	0.5301669427
755	0.5301426498
756	0.5301234386
757	0.5300906855
758	0.5300681508
759	0.5300461394
760	0.5300190555
761	0.5299996836
762	0.5299712042
763	0.5299429452
764	0.5299191343
765	0.5298885754
766	0.52986773
767	0.529844548
768	0.5298202001
769	0.5298052855
770	0.5297852664
771	0.5297694751
772	0.5297460453
773	0.5297172859
774	0.529703519
775	0.529686144
776	0.5296377327
777	0.5296176676
778	0.5295884033
779	0.5295784143
780	0.5295547779
781	0.5295454087
782	0.529525385
783	0.5295028319
784	0.5294875594
785	0.5294553617
786	0.5294194135
787	0.5293870965
788	0.5293497299
789	0.5293252718
790	0.5292997991
791	0.5292771267
792	0.5292608121
793	0.5292365192
794	0.5292111706
795	0.5291886863
796	0.5291761267
797	0.5291502272
798	0.5291259894
799	0.5290917627
800	0.5290717665
801	0.5290545981
802	0.5290231808
803	0.5290021609
804	0.5289621548
805	0.5289374947
806	0.5289077897
807	0.5288787089
808	0.5288609804
809	0.5288406262
810	0.5288263268
811	0.5287874591
812	0.5287677613
813	0.5287471868
814	0.5287333418
815	0.5287228296
816	0.5287186477
817	0.5286963792
818	0.5286773792
819	0.5286434004
820	0.5286301201
821	0.528599731
822	0.5285774947
823	0.528544737
824	0.5285101752
825	0.5284990295
826	0.5284864653
827	0.5284604418
828	0.5284466933
829	0.5284328897
830	0.5284040063
831	0.5283735301
832	0.5283442794
833	0.5283249581
834	0.5282974335
835	0.528290837
836	0.5282760785
837	0.528248811
838	0.5282385146
839	0.5282183026
840	0.5281761803
841	0.5281474897
842	0.5281229122
843	0.5281079748
844	0.5280878455
845	0.5280708882
846	0.5280442267
847	0.5280245335
848	0.5280143931
849	0.5279910871
850	0.5279725645
851	0.5279479274
852	0.5279336004
853	0.5279067644
854	0.5278595512
855	0.5278450453
856	0.527819591
857	0.5277967442
858	0.5277705003
859	0.5277573761
860	0.5277338131
861	0.5276922692
862	0.5276761244
863	0.5276498347
864	0.5276348422
865	0.5276183944
866	0.5275937435
867	0.5275604395
868	0.5275411548
869	0.5275176974
870	0.527503926
871	0.5274852014
872	0.5274570617
873	0.5274225825
874	0.5274099357
875	0.52737794
876	0.5273507689
877	0.527338246
878	0.5273166064
879	0.5272972896
880	0.5272701277
881	0.5272462159
882	0.5272285608
883	0.5272013851
884	0.5271772346
885	0.5271604334
886	0.5271434348
887	0.5271189124
888	0.5270960472
889	0.527066411
890	0.527051524
891	0.5270239076
892	0.5270006384
893	0.5269796002
894	0.5269578
895	0.5269344298
896	0.5269067216
897	0.5268827087
898	0.5268576676
899	0.5268379239
900	0.5268192452
901	0.5268015305
902	0.5267866022
903	0.5267701407
904	0.5267421525
905	0.5267062457
906	0.5266762055
907	0.5266646513
908	0.5266433973
909	0.5266180348
910	0.5265930258
911	0.526581086
912	0.5265566324
913	0.5265298836
914	0.5265074316
915	0.5264922829
916	0.5264790072
917	0.5264522447
918	0.5264345713
919	0.5264202398
920	0.5263981458
921	0.5263792008
922	0.5263572583
923	0.5263362843
924	0.5263192444
925	0.5263012497
926	0.526276865
927	0.526256093
928	0.526236331
929	0.5262318966
930	0.5262004609
931	0.5261848349
932	0.5261657797
933	0.5261397792
934	0.526120366
935	0.5260966929
936	0.526063219
937	0.5260435488
938	0.5260238143
939	0.5260031295
940	0.5259943938
941	0.5259751137
942	0.525951032
943	0.5259248754
944	0.5258981037
945	0.5258667231
946	0.5258538146
947	0.5258290352
948	0.5258093098
949	0.5257841723
950	0.5257721728
951	0.5257600585
952	0.5257445197
953	0.5257280536
954	0.5257084109
955	0.5256916739
956	0.5256839803
957	0.5256502907
958	0.525636409
959	0.5256077598
960	0.5255822183
961	0.5255600416
962	0.5255393018
963	0.5255178734
964	0.5255055479
965	0.5254845097
966	0.5254548322
967	0.5254383799
968	0.5254211518
969	0.5254051723
970	0.5253688018
971	0.5253398129
972	0.5253257338
973	0.525287339
974	0.5252599521
975	0.5252144833
976	0.5251836811
977	0.5251566844
978	0.5251309823
979	0.5251204379
980	0.5250958191
981	0.5250771863
982	0.5250558635
983	0.5250441807
984	0.5250187678
985	0.5249995336
986	0.5249756998
987	0.5249655869
988	0.5249364006
989	0.524912631
990	0.5248969637
991	0.5248689204
992	0.5248456833
993	0.5248280467
994	0.5247980616
995	0.5247837393
996	0.5247634034
997	0.5247399552
998	0.5247209276
999	0.5246848693
